Date,Open,High,Low,Close,,Volume
2020-09-11,11447.799805,11493.5,11419.900391,11464.450195,,554800
2020-09-14,11540.150391,11568.900391,11383.549805,11440.049805,,642300
2020-09-15,11487.200195,11535.950195,11442.25,11521.799805,,506700
2020-09-16,11538.450195,11618.099609,11516.75,11604.549805,,527800
2020-09-17,11539.400391,11587.200195,11498.5,11516.099609,,0
2020-09-18,11584.099609,11584.099609,11446.099609,11504.950195,,764200
2020-09-21,11503.799805,11535.25,11218.5,11250.549805,,602900
2020-09-22,11301.75,11302.200195,11084.650391,11153.650391,,672200
2020-09-23,11258.75,11259.549805,11024.400391,11131.849609,,714900
2020-09-24,11011,11015.299805,10790.200195,10805.549805,,706100
2020-09-25,10910.400391,11072.599609,10854.849609,11050.25,,559600
2020-09-28,11140.849609,11239.349609,11099.849609,11227.549805,,472800
2020-09-29,11288.599609,11305.400391,11181,11222.400391,,498300
2020-09-30,11244.450195,11295.400391,11184.549805,11247.549805,,499300
2020-10-01,11364.450195,11428.599609,11347.049805,11416.950195,,447700
2020-10-05,11487.799805,11578.049805,11452.299805,11503.349609,,530600
2020-10-06,11603.450195,11680.299805,11564.299805,11662.400391,,561400
2020-10-07,11679.25,11763.049805,11629.349609,11738.849609,,513400
2020-10-08,11835.400391,11905.700195,11791.150391,11834.599609,,608800
2020-10-09,11852.049805,11938.599609,11805.200195,11914.200195,,611100
2020-10-12,11973.549805,12022.049805,11867.200195,11930.950195,,522600
2020-10-13,11934.650391,11988.200195,11888.900391,11934.5,,458300
2020-10-14,11917.400391,11997.200195,11822.150391,11971.049805,,569200
2020-10-15,12023.450195,12025.450195,11661.299805,11680.349609,,608900
2020-10-16,11727.400391,11789.75,11667.849609,11762.450195,,555800
2020-10-19,11879.200195,11898.25,11820.400391,11873.049805,,541400
2020-10-20,11861,11949.25,11837.25,11896.799805,,453600
2020-10-21,11958.549805,12018.650391,11775.75,11937.650391,,623700
2020-10-22,11890,11939.549805,11823.450195,11896.450195,,544900
2020-10-23,11957.900391,11974.549805,11908.75,11930.349609,,502300
2020-10-26,11937.400391,11942.849609,11711.700195,11767.75,,519800
2020-10-27,11807.099609,11899.049805,11723,11889.400391,,616300
2020-10-28,11922.599609,11929.400391,11684.849609,11729.599609,,704000
2020-10-29,11633.299805,11744.150391,11606.450195,11670.799805,,555000
